id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
iar,meet,i,en,412.58,2503.80,654.29,402.92,397.84,403.99,498.17,359.97,2399.58,2587.40,2454.73,2588.28,2488.99
iar,beat,i,en,323.79,2035.63,1082.21,340.31,330.93,317.02,311.64,319.06,1808.79,1992.30,2374.89,2142.73,1859.44
iar,feet,i,en,294.06,2173.78,2808.74,308.47,292.69,265.24,295.47,308.42,2356.45,1096.99,2475.61,2525.52,2414.34
iar,seat,i,en,336.21,2420.65,258.80,311.35,348.47,341.18,344.34,335.69,2442.12,2440.34,2401.45,2467.48,2351.83
iar,heat,i,en,318.82,2458.39,244.62,318.23,332.24,323.81,298.67,321.14,2483.94,2500.31,2454.03,2491.36,2362.29
iar,fleet,i,en,285.45,1404.24,1151.95,318.43,269.92,302.92,272.87,263.10,1004.44,971.97,1130.17,1853.32,2061.29
iar,moss,a,en,722.58,1279.18,153.91,688.62,738.95,748.07,710.23,727.01,1222.22,1262.38,1291.11,1305.94,1314.26
iar,bot,a,en,653.79,1002.24,139.45,631.80,658.62,675.74,659.46,643.33,990.81,978.63,996.70,989.80,1055.27
iar,fought,a,en,551.22,828.56,336.57,514.31,448.33,566.25,608.29,618.90,794.98,818.47,795.41,817.91,916.05
iar,sought,a,en,643.86,1031.30,364.62,613.77,630.61,643.11,690.08,641.72,1087.39,1018.55,920.45,1054.86,1075.24
iar,caught,a,en,625.10,943.69,230.92,612.17,606.41,661.40,637.04,608.48,938.14,914.28,943.10,911.32,1011.59
iar,brought,a,en,610.23,981.83,332.22,619.87,598.91,596.54,619.19,616.63,1005.89,863.92,1007.48,1004.83,1027.01
iar,moot,u,en,319.05,741.38,83.55,316.12,301.02,316.02,314.14,347.93,751.23,756.28,729.58,730.68,739.12
iar,boot,u,en,360.35,831.11,154.75,383.09,363.90,364.74,326.00,364.02,803.45,825.73,862.25,845.58,818.55
iar,food,u,en,324.72,867.70,183.91,289.33,340.59,302.58,339.53,351.54,869.59,873.79,886.41,839.26,869.48
iar,soothe,u,en,384.11,912.79,272.44,397.27,372.81,386.19,406.22,358.06,956.74,847.47,861.56,914.28,983.88
iar,cooed,u,en,338.05,1032.00,322.15,310.47,318.13,325.29,345.29,391.07,1051.89,938.75,1014.76,1028.23,1126.37
iar,dude,u,en,329.46,1581.89,187.19,313.05,320.04,340.30,318.80,355.12,1644.82,1579.74,1586.89,1583.80,1514.18
iar,mis,i,sp,386.90,2559.64,499.72,390.22,350.11,385.01,410.12,399.05,2394.54,2646.88,2524.40,2596.91,2635.48
iar,bis,i,sp,252.98,1879.13,600.55,267.27,228.24,252.71,247.74,268.95,1720.42,1780.83,1816.29,1803.42,2274.71
iar,pis,i,sp,257.18,1977.44,1582.93,238.75,234.23,237.71,266.40,308.79,1874.01,1769.43,1964.12,2508.44,1771.20
iar,cito,i,sp,266.34,2517.70,269.98,252.98,259.52,282.79,260.32,276.11,2554.24,2539.68,2464.50,2555.21,2474.86
iar,fito,i,sp,281.46,2159.45,1400.69,258.45,286.52,290.09,274.02,298.21,1141.35,2407.75,2393.69,2453.39,2401.07
iar,quito,i,sp,254.67,2291.79,1014.96,242.13,263.63,255.96,248.85,262.78,1593.14,2491.97,2477.19,2490.02,2406.62
iar,mas,a,sp,697.68,1406.91,102.95,697.06,698.86,689.82,701.98,700.65,1374.04,1366.89,1400.96,1433.60,1459.05
iar,vas,a,sp,698.95,1407.14,191.98,715.52,682.18,715.71,699.90,681.42,1373.66,1396.86,1379.87,1399.22,1486.08
iar,pasa,a,sp,702.67,1399.96,204.18,687.80,711.72,719.44,696.60,697.77,1329.90,1363.37,1365.48,1424.79,1516.27
iar,sala,a,sp,699.04,1432.97,101.29,693.11,706.89,705.80,703.02,686.35,1400.84,1405.94,1405.43,1471.51,1481.14
iar,fama,a,sp,705.21,1335.55,136.71,706.93,705.30,706.07,703.12,704.63,1307.63,1352.20,1380.52,1320.26,1317.16
iar,cama,a,sp,704.25,1406.11,146.37,707.66,721.97,704.19,685.27,702.17,1472.65,1419.04,1410.81,1378.92,1349.16
iar,musa,u,sp,310.20,779.26,207.23,290.48,302.88,330.12,319.61,307.91,742.16,732.18,788.73,765.45,867.77
iar,bulto,u,sp,310.27,845.51,359.17,309.56,313.75,311.43,315.01,301.58,729.69,755.79,785.25,868.86,1087.95
iar,puso,u,sp,333.10,820.92,296.96,325.82,338.19,339.91,335.01,326.55,742.94,811.80,780.59,794.01,975.27
iar,supo,u,sp,311.57,1034.11,428.94,328.75,326.90,311.87,291.86,298.43,1179.21,1049.12,935.01,923.37,1083.83
iar,fumo,u,sp,309.04,665.95,161.75,310.03,306.12,308.94,304.76,315.38,676.16,647.11,626.50,642.98,737.01
iar,cura,u,sp,288.53,662.05,121.50,287.42,294.18,294.28,296.21,270.57,694.92,658.04,635.87,634.05,687.39
